epoch,train_loss,train_global_l1,train_masked_l1,val_loss,val_global_l1,val_masked_l1
1,0.11085619973763823,0.042267388524487616,0.0685888113938272,0.05514950703582144,0.011479742006486049,0.04366976514211274
2,0.05620941095240414,0.010688737771473824,0.04552067328710109,0.048740350765001494,0.0073668352742970455,0.041373515316081466
3,0.056761452506296335,0.008273534794338048,0.048487917711026965,0.04804895645065699,0.007288370143214706,0.04076058633017965
4,0.060367377662099896,0.01102663296740502,0.049340744672808794,0.04916276338553871,0.008356789858225966,0.04080597326174029
5,0.0538555013295263,0.007398230104707182,0.0464572712238878,0.0470833760300593,0.006574532519152854,0.040508843661882565
